|stop|coordinates
210|Queen St East / Ontario St|(43.65501400000001, -79.3671634)
211|Parliament St / Dundas St East|(43.6594276, -79.36599559999999)
212|Gerrard St East / Jones Ave|(43.6692221, -79.3355954)
213|Queen St West / Augusta Ave|(43.6480658, -79.39964859999999)
214|Gerrard St East / Alton Ave|(43.6703193, -79.3306769)
215|Lake Shore Blvd West / First St|(43.6022663, -79.4984924)
216|Queen St West / York St|(43.651199, -79.3849089)
217|Queen St East / Boulton Ave|(43.6595714, -79.34673149999999)
218|Queen St West / Bathurst St|(43.6471969, -79.4039809)
219|Queen St East / Greenwood Ave|(43.6643718, -79.3252892)
220|Lake Shore Blvd West / Long Branch Ave|(43.59438410000001, -79.5339748)
221|Bathurst St / Lennox St|(43.66383150000001, -79.41068349999999)
222|Lake Shore Blvd West / Miles Rd|(43.6083254, -79.49035789999999)
223|Dundas St West / Sterling Rd|(43.65067759999999, -79.4430582)
224|Main St / Danforth Ave|(43.6881561, -79.3018044)
225|Parliament St / Shuter St|(43.6569387, -79.3649915)
226|Queen St West / Strachan Ave|(43.64533489999999, -79.4131843)
227|Lake Shore Blvd West / Louisa St|(43.6189286, -79.48646389999999)
228|Queens Quay West / Harbourfront Centre|(43.638834, -79.3818785)
229|Queen St West / Peter St|(43.6493175, -79.3936437)
230|Lake Shore Blvd West / Tenth St|(43.6000291, -79.50865639999999)
231|Carlaw Ave / Dundas St East|(43.66482329999999, -79.3416036)
232|Lake Shore Blvd West / Legion Rd|(43.6205242, -79.48323119999999)
233|King St West / Spencer Ave|(43.6382296, -79.4308841)
234|Bathurst Station|(43.6660011, -79.4112152)
235|Lake Shore Blvd West / Seventh St|(43.6007796, -79.50525449999999)
236|Queen St West / Sudbury St|(43.6425333, -79.4271162)
237|Queen St East / Saulter St East|(43.6594099, -79.3474226)
238|St Clair Ave West / Arlington Ave|(43.6809683, -79.42883669999999)
239|Queen St East / Logan Ave|(43.66051940000001, -79.3424849)
240|St Clair Ave West / Laughton Ave|(43.6746509, -79.4575967)
241|College St / McCaul St|(43.659209, -79.3934968)
242|St Clair Ave West / Oakwood Ave|(43.6794987, -79.4358172)
243|Queen St East / Broadview Ave|(43.6588705, -79.3498245)
244|College St / Euclid Ave|(43.6557161, -79.411386)
245|Queen St East / Glen Manor Dr|(43.6716159, -79.29257179999999)
246|College St / Lansdowne Ave|(43.6509771, -79.440017)
247|King St West / Blue Jays Way East|(43.6460368, -79.3923068)
248|King St West / Bay St East|(43.6486507, -79.3802583)
249|Bathurst St / Fort York Blvd|(43.6388818, -79.40065550000001)
250|College St / Yonge St / College Station|(43.6613247, -79.3830746)
